Plot Title: 20775523,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
62,2023-04-05T10:18:03Z,2.4,-1.7,14.82,,
63,2023-04-05T10:18:06Z,1.2,-1.7,14.82,,
64,2023-04-05T10:18:09Z,2.4,0.9,14.82,,
65,2023-04-05T10:18:12Z,1.2,0.9,14.82,,
66,2023-04-05T10:18:15Z,2.4,0.9,14.8,,
67,2023-04-05T10:18:18Z,2.3,-1.7,14.8,,
68,2023-04-05T10:18:21Z,1.2,-1.7,14.8,,
69,2023-04-05T10:18:24Z,1.2,0.9,14.8,,
70,2023-04-05T10:18:27Z,2.3,0.9,14.8,,
71,2023-04-05T10:18:30Z,2.4,-1.7,14.8,,
72,2023-04-05T10:18:33Z,1.2,0.9,14.79,,
73,2023-04-05T10:18:36Z,1.2,0.9,14.79,,
74,2023-04-05T10:18:39Z,2.4,-1.7,14.79,,
75,2023-04-05T10:18:42Z,1.2,0.9,14.79,,
76,2023-04-05T10:18:45Z,1.2,-1.7,14.79,,
77,2023-04-05T10:18:48Z,1.2,-1.7,14.79,,
78,2023-04-05T10:18:51Z,1.2,0.9,14.79,,
79,2023-04-05T10:18:54Z,1.2,0.9,14.79,,
80,2023-04-05T10:18:57Z,1.2,-1.7,14.79,,
81,2023-04-05T10:19:00Z,2.4,13.4,14.79,,
82,2023-04-05T10:19:03Z,1.2,-1.7,14.78,,
83,2023-04-05T10:19:06Z,1.2,0.9,14.78,,
84,2023-04-05T10:19:09Z,2.4,-1.7,14.78,,
85,2023-04-05T10:19:12Z,1.2,0.9,14.78,,
86,2023-04-05T10:19:15Z,2.4,-1.7,14.78,,
87,2023-04-05T10:19:18Z,2.4,0.9,14.77,,
88,2023-04-05T10:19:21Z,2.4,0.9,14.77,,
89,2023-04-05T10:19:24Z,2.4,0.9,14.77,,
90,2023-04-05T10:19:27Z,2.4,0.9,14.77,,
91,2023-04-05T10:19:30Z,1.2,-1.7,14.77,,
92,2023-04-05T10:19:33Z,1.2,0.9,14.77,,
93,2023-04-05T10:19:36Z,2.4,-1.7,14.77,,
94,2023-04-05T10:19:39Z,2.4,-1.7,14.77,,
95,2023-04-05T10:19:42Z,1.2,0.9,14.76,,
96,2023-04-05T10:19:45Z,1.2,0.9,14.77,,
97,2023-04-05T10:19:48Z,1.2,-1.7,14.76,,
98,2023-04-05T10:19:51Z,2.4,-1.7,14.76,,
99,2023-04-05T10:19:54Z,1.3,0.9,14.76,,
100,2023-04-05T10:19:57Z,1.2,0.9,14.76,,
101,2023-04-05T10:20:00Z,1.3,0.9,14.76,,
102,2023-04-05T10:20:03Z,1.2,0.9,14.76,,
103,2023-04-05T10:20:06Z,2.4,0.9,14.74,,
104,2023-04-05T10:20:09Z,1.3,-1.7,14.74,,
105,2023-04-05T10:20:12Z,1.3,0.9,14.74,,
106,2023-04-05T10:20:15Z,2.4,13.4,14.74,,
107,2023-04-05T10:20:18Z,2.4,-1.7,14.74,,
108,2023-04-05T10:20:21Z,1.2,-1.7,14.74,,
109,2023-04-05T10:20:24Z,1.2,-1.7,14.74,,
110,2023-04-05T10:20:27Z,1.2,0.9,14.74,,
111,2023-04-05T10:20:30Z,2.4,0.9,14.73,,
112,2023-04-05T10:20:33Z,1.2,0.9,14.73,,
113,2023-04-05T10:20:36Z,1.3,0.9,14.73,,
114,2023-04-05T10:20:39Z,1.2,0.9,14.73,,
115,2023-04-05T10:20:42Z,1.2,0.9,14.72,,
116,2023-04-05T10:20:45Z,2.4,0.9,14.73,,
117,2023-04-05T10:20:48Z,1.3,-1.7,14.72,,
118,2023-04-05T10:20:51Z,1.2,0.9,14.72,,
119,2023-04-05T10:20:54Z,2.3,0.9,14.72,,
120,2023-04-05T10:20:57Z,1.2,-1.7,14.72,,
121,2023-04-05T10:21:00Z,1.2,-1.7,14.72,,
122,2023-04-05T10:21:03Z,1.3,0.9,14.72,,
123,2023-04-05T10:21:06Z,1.2,0.9,14.72,,
124,2023-04-05T10:21:09Z,1.2,0.9,14.71,,
125,2023-04-05T10:21:12Z,2.4,0.9,14.71,,
126,2023-04-05T10:21:15Z,1.2,0.9,14.71,,
127,2023-04-05T10:21:18Z,2.3,-1.7,14.71,,
128,2023-04-05T10:21:21Z,2.4,0.9,14.71,,
129,2023-04-05T10:21:24Z,1.3,-1.7,14.71,,
130,2023-04-05T10:21:27Z,1.2,0.9,14.71,,
131,2023-04-05T10:21:30Z,2.4,0.9,14.71,,
132,2023-04-05T10:21:33Z,1,-1.7,14.7,,
133,2023-04-05T10:21:36Z,1.2,-1.7,14.7,,
134,2023-04-05T10:21:39Z,2.4,0.9,14.7,,
135,2023-04-05T10:21:42Z,2.4,-1.7,14.7,,
136,2023-04-05T10:21:45Z,1.2,0.9,14.7,,
137,2023-04-05T10:21:48Z,2.3,-1.7,14.7,,
138,2023-04-05T10:21:51Z,1.2,0.9,14.7,,
139,2023-04-05T10:21:54Z,1.2,-1.7,14.68,,
140,2023-04-05T10:21:57Z,2.4,0.9,14.68,,
141,2023-04-05T10:22:00Z,2.4,-1.7,14.68,,
142,2023-04-05T10:22:03Z,2.4,0.9,14.68,,
143,2023-04-05T10:22:06Z,1.2,-1.7,14.68,,
144,2023-04-05T10:22:09Z,1.3,0.9,14.68,,
145,2023-04-05T10:22:12Z,2.4,0.9,14.67,,
146,2023-04-05T10:22:15Z,1.2,-1.7,14.67,,
147,2023-04-05T10:22:18Z,1.3,-1.7,14.67,,
148,2023-04-05T10:22:21Z,1.2,-1.7,14.67,,
149,2023-04-05T10:22:24Z,2.4,0.9,14.67,,
150,2023-04-05T10:22:27Z,2.4,-1.7,14.67,,
151,2023-04-05T10:22:30Z,1.2,0.9,14.67,,
152,2023-04-05T10:22:33Z,2.4,0.9,14.66,,
153,2023-04-05T10:22:36Z,2.3,-1.7,14.67,,
154,2023-04-05T10:22:39Z,1.2,-1.7,14.66,,
155,2023-04-05T10:22:42Z,1.2,0.9,14.67,,
156,2023-04-05T10:22:45Z,1.2,-1.7,14.66,,
157,2023-04-05T10:22:48Z,1.2,0.9,14.66,,
158,2023-04-05T10:22:51Z,1.2,0.9,14.66,,
159,2023-04-05T10:22:54Z,2.4,-1.7,14.65,,
160,2023-04-05T10:22:57Z,1.2,0.9,14.65,,
161,2023-04-05T10:23:00Z,1.2,-1.7,14.65,,
162,2023-04-05T10:23:03Z,2.4,0.9,14.65,,
163,2023-04-05T10:23:06Z,1.2,0.9,14.65,,
164,2023-04-05T10:23:09Z,2.4,-1.7,14.65,,
165,2023-04-05T10:23:12Z,1.2,-1.7,14.65,,
166,2023-04-05T10:23:15Z,1.2,0.9,14.64,,
167,2023-04-05T10:23:18Z,2.4,-1.7,14.64,,
168,2023-04-05T10:23:21Z,1.2,-1.7,14.64,,
169,2023-04-05T10:23:24Z,1.2,0.9,14.64,,
170,2023-04-05T10:23:27Z,1.2,-1.7,14.64,,
171,2023-04-05T10:23:30Z,1.2,0.9,14.64,,
172,2023-04-05T10:23:33Z,1.2,-1.7,14.63,,
173,2023-04-05T10:23:36Z,1.2,0.9,14.64,,
174,2023-04-05T10:23:39Z,1.2,0.9,14.63,,
175,2023-04-05T10:23:42Z,1.2,0.9,14.63,,
176,2023-04-05T10:23:45Z,2.4,0.9,14.63,,
177,2023-04-05T10:23:48Z,2.4,0.9,14.63,,
178,2023-04-05T10:23:51Z,1.2,0.9,14.63,,
179,2023-04-05T10:23:54Z,1.2,0.9,14.63,,
180,2023-04-05T10:23:57Z,2.4,-1.7,14.61,,
181,2023-04-05T10:24:00Z,2.4,0.9,14.61,,
182,2023-04-05T10:24:03Z,2.4,-1.7,14.61,,
183,2023-04-05T10:24:06Z,1.2,-1.7,14.61,,
184,2023-04-05T10:24:09Z,1.2,-1.7,14.61,,
185,2023-04-05T10:24:12Z,2.4,-1.7,14.61,,
186,2023-04-05T10:24:15Z,1.2,-1.7,14.61,,
187,2023-04-05T10:24:18Z,1.3,0.9,14.6,,
188,2023-04-05T10:24:21Z,2.4,0.9,14.6,,
189,2023-04-05T10:24:24Z,1.2,0.9,14.6,,
190,2023-04-05T10:24:27Z,1.2,-1.7,14.6,,
191,2023-04-05T10:24:30Z,1.2,0.9,14.6,,
192,2023-04-05T10:24:33Z,1.3,-1.7,14.6,,
193,2023-04-05T10:24:36Z,1.3,0.9,14.59,,
194,2023-04-05T10:24:39Z,1.2,-1.7,14.59,,
195,2023-04-05T10:24:42Z,1.3,0.9,14.59,,
196,2023-04-05T10:24:45Z,2.3,-1.7,14.59,,
197,2023-04-05T10:24:48Z,1.2,-1.7,14.59,,
198,2023-04-05T10:24:51Z,1.2,0.9,14.59,,
199,2023-04-05T10:24:54Z,1.2,0.9,14.59,,
200,2023-04-05T10:24:57Z,1.2,-1.7,14.59,,
201,2023-04-05T10:25:00Z,2.4,-1.7,14.58,,
202,2023-04-05T10:25:03Z,2.4,0.9,14.58,,
203,2023-04-05T10:25:06Z,2.3,-1.7,14.58,,
204,2023-04-05T10:25:09Z,1.2,0.9,14.58,,
205,2023-04-05T10:25:12Z,1.2,0.9,14.58,,
206,2023-04-05T10:25:15Z,1.2,0.9,14.58,,
207,2023-04-05T10:25:18Z,1.2,0.9,14.57,,
208,2023-04-05T10:25:21Z,2.4,-1.7,14.57,,
209,2023-04-05T10:25:24Z,2.4,0.9,14.57,,
210,2023-04-05T10:25:27Z,2.3,-1.7,14.57,,
211,2023-04-05T10:25:30Z,1.2,0.9,14.55,,
212,2023-04-05T10:25:33Z,1.2,0.9,14.55,,
213,2023-04-05T10:25:36Z,1.2,0.9,14.55,,
214,2023-04-05T10:25:39Z,1.3,0.9,14.55,,
215,2023-04-05T10:25:42Z,1.2,0.9,14.54,,
216,2023-04-05T10:25:45Z,0.6,-1.7,14.54,,
217,2023-04-05T10:25:48Z,1.2,0.9,14.54,,
218,2023-04-05T10:25:51Z,2.4,0.9,14.54,,
219,2023-04-05T10:25:54Z,1.2,0.9,14.54,,
220,2023-04-05T10:25:57Z,1.2,-1.7,14.54,,
221,2023-04-05T10:26:00Z,2.4,0.9,14.54,,
222,2023-04-05T10:26:03Z,2.4,0.9,14.54,,
223,2023-04-05T10:26:06Z,1.2,-1.7,14.54,,
224,2023-04-05T10:26:09Z,1.2,-1.7,14.54,,
225,2023-04-05T10:26:12Z,1.2,0.9,14.54,,
226,2023-04-05T10:26:15Z,2.4,-1.7,14.53,,
227,2023-04-05T10:26:18Z,2.4,0.9,14.53,,
228,2023-04-05T10:26:21Z,2.4,0.9,14.53,,
229,2023-04-05T10:26:24Z,2.4,0.9,14.52,,
230,2023-04-05T10:26:27Z,1.2,-1.7,14.52,,
231,2023-04-05T10:26:30Z,2.4,-1.7,14.52,,
232,2023-04-05T10:26:33Z,2.4,-1.7,14.52,,
233,2023-04-05T10:26:36Z,1.2,-1.7,14.52,,
234,2023-04-05T10:26:39Z,1.2,0.9,14.52,,
235,2023-04-05T10:26:42Z,1.2,0.9,14.52,,
236,2023-04-05T10:26:45Z,1.2,13.4,14.52,,
237,2023-04-05T10:26:48Z,2.4,-1.7,14.52,,
238,2023-04-05T10:26:51Z,1.2,0.9,14.52,,
239,2023-04-05T10:26:54Z,1.2,-1.7,14.52,,
240,2023-04-05T10:26:57Z,1.2,0.9,14.52,,
241,2023-04-05T10:27:00Z,1.2,0.9,14.52,,
242,2023-04-05T10:27:03Z,1.2,-1.7,14.52,,
243,2023-04-05T10:27:06Z,2.4,-1.7,14.52,,
244,2023-04-05T10:27:09Z,1.2,0.9,14.52,,
245,2023-04-05T10:27:12Z,2.4,0.9,14.52,,
246,2023-04-05T10:27:15Z,1.2,-1.7,14.52,,
247,2023-04-05T10:27:18Z,1.2,0.9,14.52,,
248,2023-04-05T10:27:21Z,2.4,0.9,14.52,,
249,2023-04-05T10:27:24Z,1.2,0.9,14.51,,
250,2023-04-05T10:27:27Z,2.4,-1.7,14.51,,
251,2023-04-05T10:27:30Z,1.2,-1.7,14.49,,
252,2023-04-05T10:27:33Z,1.2,0.9,14.49,,
253,2023-04-05T10:27:36Z,1.2,0.9,14.49,,
254,2023-04-05T10:27:39Z,1.2,-1.7,14.49,,
255,2023-04-05T10:27:42Z,2.4,0.9,14.49,,
256,2023-04-05T10:27:45Z,2.4,0.9,14.49,,
257,2023-04-05T10:27:48Z,1.3,0.9,14.51,,
258,2023-04-05T10:27:51Z,1.2,-1.7,14.49,,
259,2023-04-05T10:27:54Z,2.4,0.9,14.49,,
260,2023-04-05T10:27:57Z,1.2,0.9,14.49,,
261,2023-04-05T10:28:00Z,2.4,0.9,14.49,,
262,2023-04-05T10:28:03Z,1.2,0.9,14.49,,
263,2023-04-05T10:28:06Z,2.4,0.9,14.49,,
264,2023-04-05T10:28:09Z,1.2,0.9,14.49,,
265,2023-04-05T10:28:12Z,1.2,-1.7,14.48,,
266,2023-04-05T10:28:15Z,1.2,-1.7,14.48,,
267,2023-04-05T10:28:18Z,1.2,0.9,14.48,,
268,2023-04-05T10:28:21Z,2.3,0.9,14.47,,
269,2023-04-05T10:28:24Z,1.2,-1.7,14.47,,
270,2023-04-05T10:28:27Z,1.2,0.9,14.46,,
271,2023-04-05T10:28:30Z,2.3,-1.7,14.46,,
272,2023-04-05T10:28:33Z,1.2,0.9,14.46,,
273,2023-04-05T10:28:36Z,2.4,0.9,14.46,,
274,2023-04-05T10:28:39Z,1.2,0.9,14.46,,
275,2023-04-05T10:28:42Z,1.2,-1.7,14.46,,
276,2023-04-05T10:28:45Z,1.2,0.9,14.46,,
277,2023-04-05T10:28:48Z,1.2,0.9,14.46,,
278,2023-04-05T10:28:51Z,2.3,0.9,14.46,,
279,2023-04-05T10:28:54Z,2.3,0.9,14.46,,
280,2023-04-05T10:28:57Z,1.2,0.9,14.45,,
281,2023-04-05T10:29:00Z,2.4,0.9,14.45,,
282,2023-04-05T10:29:03Z,1.2,0.9,14.45,,
283,2023-04-05T10:29:06Z,2.4,0.9,14.45,,
284,2023-04-05T10:29:09Z,2.4,0.9,14.43,,
285,2023-04-05T10:29:12Z,1.3,-1.7,14.45,,
286,2023-04-05T10:29:15Z,2.4,-1.7,14.45,,
287,2023-04-05T10:29:18Z,1.2,0.9,14.43,,
288,2023-04-05T10:29:21Z,1.2,-1.7,14.43,,
289,2023-04-05T10:29:24Z,1.2,-1.7,14.43,,
290,2023-04-05T10:29:27Z,1.2,0.9,14.42,,
291,2023-04-05T10:29:30Z,1.2,0.9,14.43,,
292,2023-04-05T10:29:33Z,1.2,0.9,14.42,,
293,2023-04-05T10:29:36Z,1.2,0.9,14.42,,
294,2023-04-05T10:29:39Z,2.4,0.9,14.42,,
295,2023-04-05T10:29:42Z,1.3,0.9,14.42,,
296,2023-04-05T10:29:45Z,2.4,-1.7,14.42,,
297,2023-04-05T10:29:48Z,1.2,0.9,14.41,,
298,2023-04-05T10:29:51Z,1.2,0.9,14.41,,
299,2023-04-05T10:29:54Z,1.2,0.9,14.41,,
300,2023-04-05T10:29:57Z,1.2,-1.7,14.41,,
301,2023-04-05T10:30:00Z,2.4,0.9,14.41,,
302,2023-04-05T10:30:03Z,1.2,-1.7,14.41,,
303,2023-04-05T10:30:06Z,2.4,0.9,14.4,,
304,2023-04-05T10:30:09Z,2.4,0.9,14.4,,
305,2023-04-05T10:30:12Z,1.2,-1.7,14.4,,
306,2023-04-05T10:30:15Z,2.3,-1.7,14.4,,
307,2023-04-05T10:30:18Z,1.2,0.9,14.41,,
308,2023-04-05T10:30:21Z,1.2,0.9,14.4,,
309,2023-04-05T10:30:24Z,1.2,-1.7,14.4,,
310,2023-04-05T10:30:27Z,2.4,0.9,14.39,,
311,2023-04-05T10:30:30Z,1.2,0.9,14.4,,
312,2023-04-05T10:30:33Z,2.4,0.9,14.39,,
313,2023-04-05T10:30:36Z,2.4,-1.7,14.39,,
314,2023-04-05T10:30:39Z,2.3,-1.7,14.39,,
315,2023-04-05T10:30:42Z,1.2,0.9,14.39,,
316,2023-04-05T10:30:45Z,1.3,13.4,14.39,,
317,2023-04-05T10:30:48Z,1.2,-1.7,14.37,,
318,2023-04-05T10:30:51Z,1.2,0.9,14.37,,
319,2023-04-05T10:30:54Z,1.2,0.9,14.37,,
320,2023-04-05T10:30:57Z,1.2,0.9,14.39,,
321,2023-04-05T10:31:00Z,1.2,0.9,14.37,,
322,2023-04-05T10:31:03Z,1.2,0.9,14.37,,
323,2023-04-05T10:31:06Z,2.4,0.9,14.36,,
324,2023-04-05T10:31:09Z,2.4,0.9,14.36,,
325,2023-04-05T10:31:12Z,2.4,-1.7,14.36,,
326,2023-04-05T10:31:15Z,1.2,-1.7,14.36,,
327,2023-04-05T10:31:18Z,2.4,-1.7,14.36,,
328,2023-04-05T10:31:21Z,1.2,0.9,14.36,,
329,2023-04-05T10:31:24Z,1.3,0.9,14.36,,
330,2023-04-05T10:31:27Z,2.3,-1.7,14.36,,
331,2023-04-05T10:31:30Z,1.3,0.9,14.35,,
332,2023-04-05T10:31:33Z,1.2,-1.7,14.35,,
333,2023-04-05T10:31:36Z,1.2,0.9,14.34,,
334,2023-04-05T10:31:39Z,1.2,-1.7,14.35,,
335,2023-04-05T10:31:42Z,1.2,0.9,14.34,,
336,2023-04-05T10:31:45Z,1.3,-1.7,14.34,,
337,2023-04-05T10:31:48Z,1.2,-1.7,14.35,,
338,2023-04-05T10:31:51Z,1.2,-1.7,14.34,,
339,2023-04-05T10:31:54Z,1.2,0.9,14.34,,
340,2023-04-05T10:31:57Z,1.2,-1.7,14.34,,
341,2023-04-05T10:32:00Z,1.2,-1.7,14.33,,
342,2023-04-05T10:32:03Z,1.2,0.9,14.34,,
343,2023-04-05T10:32:06Z,2.3,0.9,14.33,,
344,2023-04-05T10:32:09Z,1.2,0.9,14.33,,
345,2023-04-05T10:32:12Z,1.2,0.9,14.33,,
346,2023-04-05T10:32:15Z,1.2,0.9,14.33,,
347,2023-04-05T10:32:18Z,2.4,0.9,14.33,,
348,2023-04-05T10:32:21Z,1.2,-1.7,14.32,,
349,2023-04-05T10:32:24Z,1.3,0.9,14.32,,
350,2023-04-05T10:32:27Z,2.3,0.9,14.32,,
351,2023-04-05T10:32:30Z,1.2,-1.7,14.32,,
352,2023-04-05T10:32:33Z,1.2,-1.7,14.32,,
353,2023-04-05T10:32:36Z,1.2,0.9,14.32,,
354,2023-04-05T10:32:39Z,2.4,-1.7,14.3,,
355,2023-04-05T10:32:42Z,2.4,-1.7,14.3,,
356,2023-04-05T10:32:45Z,1.2,0.9,14.3,,
357,2023-04-05T10:32:48Z,1.2,0.9,14.3,,
358,2023-04-05T10:32:51Z,2.4,-1.7,14.3,,
359,2023-04-05T10:32:54Z,1.2,0.9,14.29,,
360,2023-04-05T10:32:57Z,2.3,-1.7,14.3,,
361,2023-04-05T10:33:00Z,1.2,0.9,14.29,,
362,2023-04-05T10:33:03Z,2.4,0.9,14.29,,
363,2023-04-05T10:33:06Z,2.4,0.9,14.29,,
364,2023-04-05T10:33:09Z,1.2,0.9,14.29,,
365,2023-04-05T10:33:12Z,1.2,0.9,14.29,,
366,2023-04-05T10:33:15Z,1.2,0.9,14.29,,
367,2023-04-05T10:33:18Z,1.2,-1.7,14.28,,
368,2023-04-05T10:33:21Z,2.4,0.9,14.28,,
369,2023-04-05T10:33:24Z,2.4,0.9,14.28,,
370,2023-04-05T10:33:27Z,1.2,0.9,14.28,,
371,2023-04-05T10:33:30Z,1.2,0.9,14.27,,
372,2023-04-05T10:33:33Z,2.4,13.4,14.28,,
373,2023-04-05T10:33:36Z,1.2,0.9,14.28,,
374,2023-04-05T10:33:39Z,1.2,0.9,14.27,,
375,2023-04-05T10:33:42Z,1.2,0.9,14.28,,
376,2023-04-05T10:33:45Z,1.2,0.9,14.27,,
377,2023-04-05T10:33:48Z,2.3,0.9,14.27,,
378,2023-04-05T10:33:51Z,2.4,-1.7,14.26,,
379,2023-04-05T10:33:54Z,1.2,0.9,14.26,,
380,2023-04-05T10:33:57Z,1.2,0.9,14.26,,
381,2023-04-05T10:34:00Z,1.2,0.9,14.26,,
382,2023-04-05T10:34:03Z,1.2,0.9,14.26,,
383,2023-04-05T10:34:06Z,1.2,-1.7,14.26,,
384,2023-04-05T10:34:09Z,1.2,0.9,14.26,,
385,2023-04-05T10:34:12Z,2.3,-1.7,14.24,,
386,2023-04-05T10:34:15Z,1.2,0.9,14.24,,
387,2023-04-05T10:34:18Z,1.3,0.9,14.24,,
388,2023-04-05T10:34:21Z,2.4,0.9,14.24,,
389,2023-04-05T10:34:24Z,1.3,0.9,14.24,,
390,2023-04-05T10:34:27Z,1.3,0.9,14.24,,
391,2023-04-05T10:34:30Z,1.2,-1.7,14.23,,
392,2023-04-05T10:34:33Z,1.2,0.9,14.23,,
393,2023-04-05T10:34:36Z,1.2,-1.7,14.23,,
394,2023-04-05T10:34:39Z,1.2,-1.7,14.22,,
395,2023-04-05T10:34:42Z,1.2,0.9,14.22,,
396,2023-04-05T10:34:45Z,1.2,-1.7,14.23,,
397,2023-04-05T10:34:48Z,1.2,0.9,14.23,,
398,2023-04-05T10:34:51Z,1.3,0.9,14.22,,
399,2023-04-05T10:34:54Z,1.3,0.9,14.22,,
400,2023-04-05T10:34:57Z,1.2,0.9,14.22,,
401,2023-04-05T10:35:00Z,1.2,0.9,14.21,,
402,2023-04-05T10:35:03Z,1.2,0.9,14.22,,
403,2023-04-05T10:35:06Z,2.4,-1.7,14.21,,
404,2023-04-05T10:35:09Z,1.3,0.9,14.22,,
405,2023-04-05T10:35:12Z,2.4,0.9,14.21,,
406,2023-04-05T10:35:15Z,1.2,-1.7,14.21,,
407,2023-04-05T10:35:18Z,1.2,-1.7,14.21,,
408,2023-04-05T10:35:21Z,1.2,0.9,14.21,,
409,2023-04-05T10:35:24Z,2.4,-1.7,14.2,,
410,2023-04-05T10:35:27Z,2.3,0.9,14.2,,
411,2023-04-05T10:35:30Z,2.7,-1.7,14.2,,
412,2023-04-05T10:35:33Z,2.4,0.9,14.2,,
413,2023-04-05T10:35:36Z,1.2,-1.7,14.2,,
414,2023-04-05T10:35:39Z,2.4,0.9,14.18,,
415,2023-04-05T10:35:42Z,2.4,0.9,14.18,,
416,2023-04-05T10:35:45Z,2.4,-1.7,14.18,,
417,2023-04-05T10:35:48Z,2.4,0.9,14.18,,
418,2023-04-05T10:35:51Z,1.2,0.9,14.18,,
419,2023-04-05T10:35:54Z,2.4,0.9,14.18,,
420,2023-04-05T10:35:57Z,2.3,0.9,14.17,,
421,2023-04-05T10:36:00Z,2.4,0.9,14.17,,
422,2023-04-05T10:36:03Z,1.2,-1.7,14.17,,
423,2023-04-05T10:36:06Z,2.4,0.9,14.17,,
424,2023-04-05T10:36:09Z,2.4,-1.7,14.17,,
425,2023-04-05T10:36:12Z,2.4,-1.7,14.17,,
426,2023-04-05T10:36:15Z,1.2,0.9,14.17,,
427,2023-04-05T10:36:18Z,0.6,0.9,14.17,,
428,2023-04-05T10:36:21Z,1.2,0.9,14.16,,
429,2023-04-05T10:36:24Z,1.2,-1.7,14.17,,
430,2023-04-05T10:36:27Z,1.2,0.9,14.16,,
431,2023-04-05T10:36:30Z,2.4,0.9,14.16,,
432,2023-04-05T10:36:33Z,1.2,-1.7,14.15,,
433,2023-04-05T10:36:36Z,2.4,0.9,14.16,,
434,2023-04-05T10:36:39Z,1.2,0.9,14.16,,
435,2023-04-05T10:36:42Z,2.4,0.9,14.15,,
